Predictions vs Actual: 

    Prediction:         Actual:
    3412.806666666667     3940
    7398.626666666667     7907
            7669.24     7870
            2985.68     1787
    2461.153333333333     4339
    2752.673333333333     2376
    1379.2733333333333     1162
            2107.06     795
    1921.7266666666667     1891
    7036.873333333333     6290
    2310.346666666667     920
    7455.286666666667     7691
    4850.113333333334     5895
            4251.38     4649
    4942.493333333333     5515
    3963.7533333333336     3194
    5259.513333333333     5629
    5707.966666666666     6241
    6141.733333333334     5892
    3671.1133333333332     3598
    7416.666666666667     7446
    7105.973333333333     7286
    6143.453333333333     6203
    5967.706666666667     6883
            4603.76     3840
    3235.2266666666665     2743
    4386.513333333333     5041
    5440.333333333333     5698
    4227.346666666666     4492
    6527.493333333333     7290
    3800.633333333333     1996
             6787.2     6211
    4119.713333333333     4456
    5148.246666666667     4333
    3695.173333333333     4649
    7282.2733333333335     6544
            4639.58     4780
             6936.6     5713
    4588.006666666667     4362
    6660.266666666666     7129
    7573.666666666667     8120
    2123.7733333333335     1536
            5865.96     4990
    2534.4133333333334     1795
            3245.24     3740
            6718.06     7112
    3131.1666666666665     3577
    4444.106666666667     6235
            2589.18     1749
    2924.8866666666668     2933
    7540.3133333333335     7736
    4153.506666666667     5315
    4651.6866666666665     4153
            3922.94     4304
    3805.8733333333334     3922
            4923.64     5305
            1582.24     1530
            3388.16     3620
    2717.5066666666667     2594
    6515.233333333334     5169
            4177.04     4066
    6552.113333333334     6685
    3774.4066666666668     4563
    3976.0466666666666     4205
    4664.253333333333     5217
            5427.42     5986
    3175.3866666666668     3750
            4447.94     4602
    6402.3133333333335     6869
    1603.4666666666667     1927
    3833.1266666666666     5191
            4507.08     5102
            1736.58     2402
    6674.886666666666     7570
    2717.8133333333335     2298
    6641.6466666666665     6824
            7464.66     7415
    2104.2533333333336     2252
    3356.366666666667     3613
    3654.9466666666667     3487
    2721.0133333333333     2475
            7256.44     6824
    5734.6466666666665     6786
    3196.0533333333333     2431
    5619.233333333334     6392
    3356.326666666667     2566
            2280.34     623
            7156.54     6883
    3645.8533333333335     3926
    5077.993333333333     5923
            6187.76     6233
    4841.766666666666     5336
             4715.7     2424
    3876.4133333333334     3944
    4459.286666666667     3785
    4741.733333333334     4978
            5361.22     5633
    3598.3333333333335     5312
            5316.22     5323
    5074.653333333334     4484
    1383.3066666666666     1321
    3153.7933333333335     4186
             3474.2     3376
    6702.966666666666     6660
            1969.66     754
    4522.553333333333     4475
            4722.76     4758
    4501.046666666667     4390
    6859.346666666666     7504
    5077.713333333333     5805
    6088.7733333333335     5743
            1910.88     1607
            4261.74     4040
    1969.4533333333334     1865
    7460.026666666667     7148
    3817.0666666666666     4451
    4102.8133333333335     3351
    3829.673333333333     3606
             1973.0     1685
    6709.786666666667     6572
            7373.82     7466
            3884.28     2429
    3908.713333333333     4109
            1506.34     1985
    3442.2266666666665     3727
    3384.4266666666667     3214
    6661.553333333333     7216
    7346.426666666666     7363
             4512.7     4660
            2531.08     2162
            5357.62     5558
    6421.3133333333335     6770
            4802.72     5204
    4358.666666666667     4687
            7521.68     7605
            3361.76     3614
             3645.5     3267
    5834.266666666666     4579
    4695.553333333333     5634
            7591.34     7498
            2127.84     1977
            1193.24     1204
    4793.493333333333     4182
             4254.4     3915
    2925.6466666666665     1817
    2560.8866666666668     2633
    4149.333333333333     3867
    6047.053333333333     6457
    4047.5266666666666     4274
            3807.54     3387
    3386.4133333333334     3830
    4089.766666666667     4585
    4403.386666666666     4881
    5430.566666666667     6852
    2249.306666666667     2077
             5691.6     6207
    3914.193333333333     4035
    4674.506666666667     5459
            6803.32     6569
    5711.806666666666     5062
    4768.153333333334     4758
             5688.8     7109
    1381.4666666666667     1406
    2817.4066666666668     2416
            7571.02     7733
    3745.1066666666666     3777
            5261.38     2425
    1195.2866666666666     801
    3169.5266666666666     4075
    6453.7733333333335     6196
    4227.926666666666     4401
            6400.96     6269
            6593.68     6830
            4650.22     4629
    5243.006666666667     5259
    6714.253333333333     5823
    7249.913333333333     7458
    2063.4133333333334     1683
            6783.58     6664
    4633.373333333333     6041
    2309.846666666667     2417
    1404.8933333333334     1005
            3291.42     3272
    2966.7466666666664     3811
            7772.16     8167
    4488.106666666667     4665
            5372.52     5117
             6591.3     6624
    5974.306666666666     4367
            4322.94     4539
    4286.426666666666     4630
    4945.846666666666     4991
            5526.48     5992
    6538.493333333333     8362
            5522.84     3910
    6442.733333333334     6299
            6872.52     7852
            4741.62     4639
    1172.6866666666667     683
    3629.213333333333     4270
    3170.9866666666667     3570
            4272.96     4359
    4827.046666666667     4694
    3898.806666666667     4911
    7571.446666666667     7702
    3820.1866666666665     3520
    3809.3866666666668     4459
    4582.866666666667     3574
             3719.5     1842
    2341.7066666666665     1341
    4134.633333333333     3542
    4829.1866666666665     3510
    5214.466666666666     6460
            2342.78     3368
            6123.98     6591
             6927.3     6778
    4924.586666666667     5180
    6152.286666666667     6230
            4521.04     3982
            6872.22     6825

