Predictions vs Actual: 

    Prediction:         Actual:
              62.06     50
            148.052     152
            118.776     110
              10.82     11
              267.8     391
            659.528     630
             165.96     140
             66.152     68
            109.572     94
            318.448     318
             21.952     28
            109.004     91
              63.16     73
            248.136     235
            194.936     223
             20.956     5
            152.008     156
              7.664     5
            849.828     848
             85.848     46
             411.16     331
             80.708     93
            421.428     493
             74.176     64
             34.908     26
             85.256     75
             29.284     12
             111.82     56
            130.108     131
            243.356     367
             48.004     35
            471.328     316
              5.252     5
            193.196     169
            161.276     151
              63.22     33
            124.824     135
              6.836     6
             97.736     72
            390.184     554
            254.056     166
            405.308     495
             30.608     34
             22.276     11
             444.56     373
            478.004     536
              61.16     59
            236.788     176
             21.236     3
             124.96     74
             374.88     395
             11.808     14
             181.94     168
             42.172     35
             65.648     115
             54.788     44
             214.82     201
    109.89466666666665     121
             16.128     13
            322.568     305
            189.844     167
            195.272     147
            161.928     147
             392.96     351
             318.52     337
             87.036     67
             146.92     164
            571.428     654
            180.834     136
            121.168     112
            215.176     241
            100.088     113
             42.124     23
            172.732     134
             146.34     120
             41.132     23
            299.896     338
              3.784     2
             65.436     66
            102.996     117
            413.248     520
            310.916     305
            296.796     298
            159.228     82
            341.528     272
             30.276     35
            204.204     138
            265.772     185
             92.216     96
            363.048     239
             30.984     8
            185.416     190
             41.956     36
            376.684     379
             12.404     5
            460.028     554
            294.252     308
            112.144     223
            461.192     412
              172.7     182
            127.304     133
              7.172     8
             61.504     50
            103.488     80
            149.928     123
            181.176     134
            384.304     551
             52.324     39
            200.548     198
             95.052     115
            292.728     456
            105.092     85
            153.724     116
             83.296     29
              7.576     8
              24.84     9
             43.128     25
            395.624     536
              6.744     7
            175.692     192
               8.18     19
            301.848     223
            119.264     118
             46.432     31
            127.756     34
            216.916     198
               50.3     48
             259.02     296
             144.26     167
              39.52     41
            598.724     627
            231.284     340
             67.004     44
              11.74     13
              3.032     2
            329.536     259
              30.24     34
             61.504     55
             20.104     9
             95.716     117
            212.576     217
             20.096     37
            608.464     679
            201.464     220
             141.14     226
             44.456     49
              5.784     6
             24.736     23
            111.744     119
            112.824     109
              482.1     483
               72.9     87
            195.112     153
             49.552     21
            164.196     163
             59.296     59
             165.62     183
            195.184     226
              9.584     14
            167.484     165
            316.844     311
            175.876     164
             40.972     46
             79.424     69
             78.872     75
             65.332     35
            387.908     528
            538.496     537
            354.676     380
            142.224     157
             55.928     35
            333.344     328
            256.752     221
            153.168     167
             81.108     59
              6.252     4
             327.88     359
            199.156     224
             253.12     210
              47.94     21
              5.968     3
            146.684     135
              25.22     21
            392.712     439
            170.508     62
            289.644     104
              4.932     4
              156.3     187
             19.648     7
            117.832     112
            216.844     283
            246.612     268
            158.988     148
              458.6     447
            512.872     313
            324.088     295
              21.78     26
            391.996     449
             85.868     23
            162.716     176
             74.016     87
              85.44     75
            239.372     238
              4.424     2
            193.136     170
            100.584     73
            133.548     168
            278.096     214
             513.32     545
              222.9     226
             97.312     71
            267.356     287
            308.844     352
              7.508     20
            523.236     449
              22.76     31
            396.492     425
            124.064     92
              4.944     8
            216.984     194
            150.632     129
             504.56     483
             89.304     84
            633.332     654
             46.208     29
               7.38     5
              84.32     81
              76.02     63
             64.864     39
            192.552     206
               5.24     4
            323.176     406
            381.144     111
            829.884     888
            289.968     334
             81.756     109
             71.072     95
             299.16     340
             142.02     105
              20.28     40
            155.812     109
            119.952     100
            293.784     275
             146.64     81
            809.856     858
             71.288     46
            113.884     188
            272.464     183
             109.82     88
            323.376     252
             81.696     57
              18.68     13
             80.912     75
              6.772     3
             631.14     686
              2.496     3
            615.984     591
             80.772     106
            262.756     192
             56.624     66
             58.064     35
              19.66     13
             92.092     93
            249.304     260
              9.676     9
            103.756     89
              151.1     224
             70.292     30
              77.48     130
             90.864     70
              78.42     52
            144.248     157
            277.248     299
             14.924     4
              61.84     28
            397.096     413
            120.236     120
               8.32     7
             262.88     254
             84.208     89
             48.756     40
            438.364     119
            121.396     138
            218.504     171
             80.696     59
            117.852     52
              45.54     47
            354.992     296
            213.284     283
             86.624     79
            159.756     116
            323.288     329
             41.952     41
             27.936     10
             457.08     464
            189.516     279
            415.256     408
             122.24     148
             94.528     110
             52.368     17
               11.7     19
             209.06     249
             37.224     8
            333.928     356
            239.716     236
             82.044     24
            177.988     164
            498.436     590
            154.128     137
            180.076     172
            304.008     392
            119.788     87
            128.712     106
            285.424     266
            559.012     539
             10.396     11
            689.528     725
              27.44     16
              52.06     56
              367.6     522
             29.032     16
            585.208     559
             21.732     27
             267.38     199
            134.116     131
             78.968     91
             21.056     9
              5.412     10
            586.244     724
            347.852     226
            453.984     468
            122.456     235
            165.544     140
             74.852     62
            304.956     402
            120.752     116
             274.98     280
             83.748     31
            186.312     159
              4.332     4
            125.708     96
            321.436     431
             47.892     19
            115.572     118
               6.28     3
             97.564     78
            111.212     129
            264.908     210
             718.58     738
             46.812     46
             43.452     8
            150.212     133
              9.064     8
            148.464     140
            176.148     150
             280.56     368
             60.248     60
              93.44     171
             101.22     99
             54.192     68
            373.292     145
            273.844     248
             56.976     70
              98.18     73
             92.892     60
            385.104     454
            286.908     260
              43.06     22
            116.244     87
             84.828     82
            220.036     421
              4.116     2
             12.004     5
            207.444     201
             248.52     259
             50.396     16
             33.416     47
             79.168     63
             278.32     437
             58.164     56
            151.164     263
            195.116     302
             307.12     282
             27.396     15
              466.2     498
              207.9     226
              4.728     4
             631.24     783
             35.012     3
            323.036     300
              25.42     12
             33.236     37
            381.192     378
             55.764     37
            275.884     257
            117.344     94
             197.32     165
              9.428     8
              8.116     3
             41.924     25
            635.244     700
            119.596     101
            243.392     234
              9.584     8
             144.12     162
            293.584     229
            215.612     223
             622.56     327
              353.9     520
